ipa,pos,translation,grammar,derivation,notes
hilpak,v.stat,"être mignon, joli",verbe statif,racine,couverture ciblée
halmuk,n,ange,nom,racine,couverture ciblée
stirmul,v.stat,"être intéressant, captivant",verbe statif,racine,couverture ciblée
klimuk,v,"emporter, enlever",radical verbal,racine,couverture ciblée
klimukut,n,ce qui est emporté,nom,klimuk + -ut (résultatif),couverture ciblée (dérivé)
kaltir,n,"rendez-vous / rendez-vous, lieu de rencontre",nom,racine,couverture ciblée
kaltur,n,grand-père / grand-père,nom,racine,couverture ciblée
tripun,n,"tort, préjudice",nom,racine,couverture ciblée
tripunas,n,"tort (domaine, qualité)",nom,tripun + -as (abstrait),couverture ciblée (dérivé)
kalmak,v,"réparer, remettre en état",radical verbal,racine,couverture ciblée
kalmakar,n,réparateur,nom,kalmak + -ar (agentif),couverture ciblée (dérivé)
kaltim,n,"contrôle, inspection",nom,racine,couverture ciblée
kaltimar,n,contrôleur,nom,kaltim + -ar (agentif),couverture ciblée (dérivé)
stilmuk,n,"quartier, secteur urbain",nom,racine,couverture ciblée
pralsuk,v.stat,"être sympa, agréable",verbe statif,racine,couverture ciblée
halnik,n,"grand-père / grand-père, ancêtre mâle",nom,racine,couverture ciblée
halsum,n,"grand-mère / grand-mère, ancêtre femelle",nom,racine,couverture ciblée
tilmuk,n,"cour, espace découvert",nom,racine,couverture ciblée
spiruk,v,"moquer, railler",radical verbal,racine,couverture ciblée
spirukar,n,celui qui se moque,nom,spiruk + -ar (agentif),couverture ciblée (dérivé)
stiltup,n,"machine, dispositif mécanique",nom,racine,couverture ciblée
priktul,v,"signifier, vouloir dire",radical verbal,racine,couverture ciblée
xurpal,v,"chier, déféquer",radical verbal,racine,couverture ciblée
stalup,v.stat,"être horrible, abominable",verbe statif,racine,couverture ciblée
sparil,v,"traîner, tirer lentement",radical verbal,racine,couverture ciblée
krulax,v,"crever, mourir/écater",radical verbal,racine,couverture ciblée
klurmak,n,rendez-vous / lieu/moment de rencontre convenu,nom,racine,couverture ciblée
pirtal,v.stat,"ennui / être ennuyé, las",verbe statif,racine,couverture ciblée
pirtalas,n,l'ennui (état abstrait),nom,pirtal + -as (abstrait),couverture ciblée (dérivé)
kalrun,n,grand-père / grand-père,nom,racine,couverture ciblée
plinak,v,"pleuvoir, tomber (pluie)",radical verbal,racine,couverture ciblée
prulsuk,n,"dommage, préjudice, perte",nom,racine,couverture ciblée
stilpum,n,taxi (véhicule de transport),nom,racine,couverture ciblée
praxit,n,"rendez-vous / rendez-vous, moment fixé",nom,racine,couverture ciblée
haltur,n,"grand-père / grand-père, ancêtre mâle",nom,racine,couverture ciblée
klimat,v.stat,"riche, abondant",verbe statif,racine,couverture ciblée
klimatas,n,richesse,nom,klimat + -as (abstrait),couverture ciblée (dérivé)
primit,v,"sonner, faire du bruit",radical verbal,racine,couverture ciblée
primitut,n,"son, bruit produit",nom,primit + -ut (résultatif),couverture ciblée (dérivé)
stirpuk,n,"inspecteur, celui qui examine",nom,racine,couverture ciblée
spartil,n,"départ, action de partir",nom,racine,couverture ciblée
kliprun,n,"vacance, absence de travail",nom,racine,couverture ciblée
palrik,n,"bar, établissement",nom,racine,couverture ciblée
xultap,n,"club, association",nom,racine,couverture ciblée
klimut,n,"cigarette, objet à fumer",nom,racine,couverture ciblée
spinak,v,"respecter, honorer",radical verbal,racine,couverture ciblée
spinakas,n,respect,nom,spinak + -as (abstrait),couverture ciblée (dérivé)
krapun,n,"combat, bataille",nom,racine,couverture ciblée
kruxul,n,"église, lieu de culte",nom,racine,couverture ciblée
stirtul,n,"directeur, chef",nom,racine,couverture ciblée
krultum,v,"forcer, contraindre",radical verbal,racine,couverture ciblée
krultumas,n,"force, contrainte",nom,krultum + -as (abstrait),couverture ciblée (dérivé)
prulun,v,"baisser, abaisser",radical verbal,racine,couverture ciblée
prulunut,n,baisse,nom,prulun + -ut (résultatif),couverture ciblée (dérivé)
spilat,v,"enterrer, enfouir",radical verbal,racine,couverture ciblée
spilatut,n,enterrement,nom,spilat + -ut (résultatif),couverture ciblée (dérivé)
praxnik,n,"rendez-vous / rendez-vous, point de rencontre",nom,racine,couverture ciblée
stalpin,n,grand-père / grand-père,nom,racine,couverture ciblée
stimaln,n,grand-mère / grand-mère,nom,racine,couverture ciblée
klirpus,v,"deviner, conjecturer",radical verbal,racine,couverture ciblée
klirpusar,n,devineur,nom,klirpus + -ar (agentif),couverture ciblée (dérivé)
kraltum,n,"projet, plan",nom,racine,couverture ciblée
xiltan,n,thé,nom,racine,couverture ciblée
spiralk,n,salope / personne méprisable,nom,racine,couverture ciblée
stirpax,v,"séparer, diviser",radical verbal,racine,couverture ciblée
stirpaxut,n,séparation,nom,stirpax + -ut (résultatif),couverture ciblée (dérivé)
klurpat,v,"poursuivre, chasser",radical verbal,racine,couverture ciblée
klurpatar,n,poursuivant,nom,klurpat + -ar (agentif),couverture ciblée (dérivé)
xirtalp,n,dimanche,nom,racine,couverture ciblée
stirmap,v,"causer, engendrer",radical verbal,racine,couverture ciblée
stirmapar,n,causeur,nom,stirmap + -ar (agentif),couverture ciblée (dérivé)
klixut,v.stat,"cool, agréable",verbe statif,racine,couverture ciblée
praltax,v,"survivre, persister",radical verbal,racine,couverture ciblée
praltaxar,n,survivant,nom,praltax + -ar (agentif),couverture ciblée (dérivé)
stirmun,n,"match, compétition sportive",nom,racine,couverture ciblée
pramnik,n,"gouvernement, administration",nom,racine,couverture ciblée
krumalt,n,"monstre, créature effrayante",nom,racine,couverture ciblée
stirnuk,v.stat,"censé, supposé être",verbe statif,racine,couverture ciblée
pratmul,n,"opération, action",nom,racine,couverture ciblée
klurmin,v,"rouler, se mouvoir",radical verbal,racine,couverture ciblée
klurminut,n,roulement,nom,klurmin + -ut (résultatif),couverture ciblée (dérivé)
kʼaprik,v,"débarrasser, libérer de",radical verbal,racine,couverture ciblée
kʼaprikut,n,débarrassement,nom,kʼaprik + -ut (résultatif),couverture ciblée (dérivé)
stirnap,v.stat,"ridicule, absurde",verbe statif,racine,couverture ciblée
klanik,n,"rendez-vous / rendez-vous, rencontre convenue",nom,racine,couverture ciblée
klimun,n,grand-mère / grand-mère,nom,racine,couverture ciblée
klirmax,v.stat,être américain,verbe statif,racine,couverture ciblée
stirum,n,"cinéma, salle de projection",nom,racine,couverture ciblée
klamun,n,"patient, malade",nom,racine,couverture ciblée
stirpal,n,"cerveau, esprit",nom,racine,couverture ciblée
priltum,v,"avouer, confesser",radical verbal,racine,couverture ciblée
spiltak,v,"plaindre, compatir",radical verbal,racine,couverture ciblée
kraxum,v,"taper, frapper",radical verbal,racine,couverture ciblée
kraxumar,n,celui qui tape,nom,kraxum + -ar (agentif),couverture ciblée (dérivé)
klirsan,n,"magasin, boutique",nom,racine,couverture ciblée
spilmax,v,"téléphoner, appeler",radical verbal,racine,couverture ciblée
spilmaxar,n,celui qui téléphone,nom,spilmax + -ar (agentif),couverture ciblée (dérivé)
stirpan,v,"parfaire, perfectionner",radical verbal,racine,couverture ciblée
klirtal,n,"lait, boisson lactée",nom,racine,couverture ciblée
stimun,n,"camion, véhicule de transport",nom,racine,couverture ciblée
kʼalturk,n,rendez-vous / réunion convenue,nom,racine,couverture ciblée
paltir,n,grand-père / père aîné,nom,racine,couverture ciblée
maltir,n,grand-mère / mère aînée,nom,racine,couverture ciblée
stipulk,v,installer / mettre en place,radical verbal,racine,couverture ciblée
stipulkar,n,installateur,nom,stipulk + -ar (agentif),couverture ciblée (dérivé)
krumpin,n,bombe / engin explosif,nom,racine,couverture ciblée
xilpukt,n,toilette / lieu d'hygiène,nom,racine,couverture ciblée
rilmaks,n,excuse / justification d'un acte,nom,racine,couverture ciblée
hintum,v.stat,"ben / bon, approprié",verbe statif,racine,couverture ciblée
krulpan,v,remplir / occuper complètement un espace,radical verbal,racine,couverture ciblée
krulpanut,n,ce qui remplit,nom,krulpan + -ut (résultatif),couverture ciblée (dérivé)
stirpulk,v,"contrôler / vérifier, commander",radical verbal,racine,couverture ciblée
stirpulkar,n,contrôleur,nom,stirpulk + -ar (agentif),couverture ciblée (dérivé)
xalturp,n,planète / astre orbitant une étoile,nom,racine,couverture ciblée
klimart,v.stat,personnel / propre à une personne,verbe statif,racine,couverture ciblée
stirmalx,n,"attaque / agression, assaut",nom,racine,couverture ciblée
stirmalxar,n,celui qui attaque,nom,stirmalx + -ar (agentif),couverture ciblée (dérivé)
klimunk,v.stat,"neuf / jeune, pas ancien",verbe statif,racine,couverture ciblée
kʼaltunk,v.stat,arrivé / parvenu à destination,verbe statif,racine,couverture ciblée
prulxan,n,reine / souveraine femelle,nom,racine,couverture ciblée
klirpunx,v,repartir / partir à nouveau,radical verbal,racine,couverture ciblée
stipulx,v,"enfermer / clore, confiner",radical verbal,racine,couverture ciblée
stipulxut,n,ce qui confine,nom,stipulx + -ut (résultatif),couverture ciblée (dérivé)
klimurp,v.stat,"parfait / sans défaut, excellent",verbe statif,racine,couverture ciblée
krumpis,n,drogue / substance psychoactive,nom,racine,couverture ciblée
stirpank,n,droite / direction côté droit,nom,racine,couverture ciblée
klimurt,v.stat,"pur / sans mélange, sincère",verbe statif,racine,couverture ciblée
xiltunk,n,île / terre entourée d'eau,nom,racine,couverture ciblée
stirmalp,v,habiller / revêtir de vêtements,radical verbal,racine,couverture ciblée
stirmalput,n,vêtement enfilé,nom,stirmalp + -ut (résultatif),couverture ciblée (dérivé)
stirpaxul,n,enquête / recherche d'informations,nom,racine,couverture ciblée
stirpaxular,n,enquêteur,nom,stirpaxul + -ar (agentif),couverture ciblée (dérivé)
klimtup,v,gêner / causer de l'inconfort,radical verbal,racine,couverture ciblée
spirun,n,"félicitation / louange, compliment",nom,racine,couverture ciblée
xirtan,v.stat,"dingue / fou, insensé",verbe statif,racine,couverture ciblée
klamuk,n,champ / terre cultivée,nom,racine,couverture ciblée
spirax,n,miracle / prodige merveilleux,nom,racine,couverture ciblée
prultan,v,"livrer / remettre, transporter",radical verbal,racine,couverture ciblée
prultum,n,voisin / celui qui habite près,nom,racine,couverture ciblée
prultumar,n,celui qui voisine,nom,prultum + -ar (agentif),couverture ciblée (dérivé)
prulax,n,gâteau / pâtisserie sucrée,nom,racine,couverture ciblée
kalput,n,grand-père / grand-père,nom,racine,couverture ciblée
stirnal,v,"convaincre, persuader",radical verbal,racine,couverture ciblée
praltuk,n,"pont, passage",nom,racine,couverture ciblée
klimus,n,"pardon, excuse",nom,racine,couverture ciblée
tiluk,n,"to / direction, vers",nom,racine,couverture ciblée
pramsul,n,"commandant, chef",nom,racine,couverture ciblée
pramsular,n,celui qui commande,nom,pramsul + -ar (agentif),couverture ciblée (dérivé)
klimrun,n,"spectacle, représentation",nom,racine,couverture ciblée
prulsum,n,"sous-titrage / sous-titrage, traduction écrite",nom,racine,couverture ciblée
kirtap,n,"rendez-vous / rendez-vous, lieu de rencontre",nom,racine,couverture ciblée
paltun,n,grand-père / grand-père,nom,racine,couverture ciblée
maltun,n,grand-mère / grand-mère,nom,racine,couverture ciblée
skurtil,n,"solution, réponse",nom,racine,couverture ciblée
triskul,v,"refaire, faire à nouveau",radical verbal,racine,couverture ciblée
kriltax,v.stat,"être intelligent, sage",verbe statif,racine,couverture ciblée
stulmark,v,"éteindre, arrêter la lumière",radical verbal,racine,couverture ciblée
xalmark,n,"bouteille, récipient",nom,racine,couverture ciblée
pripunk,v,"coincer, bloquer",radical verbal,racine,couverture ciblée
xilpurt,n,"malheur, infortune",nom,racine,couverture ciblée
krantax,v.stat,"être sacré, saint",verbe statif,racine,couverture ciblée
stimark,n,"faîte, sommet",nom,racine,couverture ciblée
xirmark,n,"caméra, appareil photographique",nom,racine,couverture ciblée
klirtun,n,"différence, distinction",nom,racine,couverture ciblée
xirpunk,v,"haïr, détester",radical verbal,racine,couverture ciblée
krismark,n,"assassin, meurtrier",nom,racine,couverture ciblée
krismarkar,n,assassin (celui qui tue),nom,krismark + -ar (agentif),couverture ciblée (dérivé)
prikmal,v,"attirer, tirer vers soi",radical verbal,racine,couverture ciblée
xaltrik,n,"chapeau, couvre-chef",nom,racine,couverture ciblée
stumarp,n,"sous-titrage / sous-titrage, traduction écrite",nom,racine,couverture ciblée
stulmik,v.stat,"être charmant, agréable",verbe statif,racine,couverture ciblée
klirmul,v.stat,"être formidable, excellent",verbe statif,racine,couverture ciblée
spirmark,n,"sorcier, magicien",nom,racine,couverture ciblée
spirmarkar,n,sorcier (celui qui pratique la magie),nom,spirmark + -ar (agentif),couverture ciblée (dérivé)
tarkum,n,rendez-vous / rencontre convenue,nom,racine,couverture ciblée
kirman,n,grand-mère / aïeule maternelle,nom,racine,couverture ciblée
mirpul,n,détail / particularité mineure,nom,racine,couverture ciblée
sparun,v.stat,"enchanté / ravi, empreint de joie magique",verbe statif,racine,couverture ciblée
sparunas,n,"enchantement, charme",nom,sparun + -as (abstrait),couverture ciblée (dérivé)
stulmak,n,sous-titrage / inscription inférieure textuelle,nom,racine,couverture ciblée
nilpak,n,genou / articulation de la jambe,nom,racine,couverture ciblée
prankul,v,arracher / extraire avec force,radical verbal,racine,couverture ciblée
prankular,n,celui qui arrache,nom,prankul + -ar (agentif),couverture ciblée (dérivé)
siprun,v.stat,mieux / supérieur en qualité,verbe statif,racine,couverture ciblée
kalrik,n,zone / territoire délimité,nom,racine,couverture ciblée
miplax,v,mêler / mélanger ensemble,radical verbal,racine,couverture ciblée
miplaxut,n,mélange (résultat),nom,miplax + -ut (résultatif),couverture ciblée (dérivé)
xiltup,v,"énerver / agacer, irriter",radical verbal,racine,couverture ciblée
xiltupar,n,celui qui énerve,nom,xiltup + -ar (agentif),couverture ciblée (dérivé)
prakum,v,exploser / éclater violemment,radical verbal,racine,couverture ciblée
prakumut,n,explosion,nom,prakum + -ut (résultatif),couverture ciblée (dérivé)
stalmuk,n,réalité / état des choses réelles,nom,racine,couverture ciblée
tirmul,v,supplier / implorer instamment,radical verbal,racine,couverture ciblée
tirmular,n,suppliant,nom,tirmul + -ar (agentif),couverture ciblée (dérivé)
spamul,v.stat,"superbe / magnifique, splendide",verbe statif,racine,couverture ciblée
xirnak,v.stat,"méchant / malveillant, cruel",verbe statif,racine,couverture ciblée
patrik,n,"ton / qualité de la voix, timbre",nom,racine,couverture ciblée
tilmark,v,déposer / laisser quelque chose quelque part,radical verbal,racine,couverture ciblée
tilmarkut,n,"dépôt, ce qui est déposé",nom,tilmark + -ut (résultatif),couverture ciblée (dérivé)
spirtul,n,"destin / fatalité, destinée",nom,racine,couverture ciblée
stimpak,n,"urgence / nécessité pressante, hâte",nom,racine,couverture ciblée
plamul,v,placer / mettre en position,radical verbal,racine,couverture ciblée
plamular,n,celui qui place,nom,plamul + -ar (agentif),couverture ciblée (dérivé)
priltax,v,remplacer / substituer à,radical verbal,racine,couverture ciblée
priltaxar,n,remplaçant,nom,priltax + -ar (agentif),couverture ciblée (dérivé)
xiltam,v,emmerder / importuner gravement,radical verbal,racine,couverture ciblée
xiltamar,n,"importun, fauteur de trouble",nom,xiltam + -ar (agentif),couverture ciblée (dérivé)
pramux,n,rendez-vous / rencontre convenue,nom,racine,couverture ciblée
stirap,n,grand-mère / mère âgée,nom,racine,couverture ciblée
klimtax,n,sous-titrage / texte inscrit en bas,nom,racine,couverture ciblée
klimran,v,accrocher / fixer à un support,radical verbal,racine,couverture ciblée
klimsul,v,déjeuner / prendre le repas de midi,radical verbal,racine,couverture ciblée
klimsulut,n,le déjeuner (repas),nom,klimsul + -ut (résultatif),couverture ciblée (dérivé)
klimark,v.stat,anglais / relever de la langue anglaise,verbe statif,racine,couverture ciblée
stirpix,n,valise / bagage portatif rigide,nom,racine,couverture ciblée
klimpar,v,entraîner / exercer pour améliorer ou mener avec soi,radical verbal,racine,couverture ciblée
klimparar,n,entraîneur,nom,klimpar + -ar (agentif),couverture ciblée (dérivé)
